002116.SZ,中国海诚,2012-03-06,16.94,18.63,20.28,0.09976387249114507,0.0885668276972626
002117.SZ,东港股份,2011-09-10,20.34,17.7,18.26,-0.1297935103244838,0.031638418079096176
002120.SZ,韵达股份,2017-03-02,46.9,47.14,48.23,0.005117270788912623,0.023122613491726694
002121.SZ,科陆电子,2013-11-13,8.77,7.0,7.66,-0.201824401368301,0.0942857142857143
002121.SZ,科陆电子,2013-11-13,8.77,7.0,7.66,-0.201824401368301,0.0942857142857143
002124.SZ,天邦股份,2013-01-22,7.46,8.1,7.77,0.08579088471849862,-0.04074074074074075
002126.SZ,银轮股份,2013-01-07,4.75,5.67,8.15,0.19368421052631576,0.43738977072310414
002130.SZ,沃尔核材,2012-01-17,12.78,13.48,14.38,0.05477308294209711,0.06676557863501487
002130.SZ,沃尔核材,2017-02-13,13.68,14.18,13.98,0.03654970760233918,-0.014104372355430134
002130.SZ,沃尔核材,2012-01-17,12.78,13.48,14.38,0.05477308294209711,0.06676557863501487
002130.SZ,沃尔核材,2017-02-13,13.68,14.18,13.98,0.03654970760233918,-0.014104372355430134
002131.SZ,利欧股份,2016-06-21,17.22,15.98,19.04,-0.07200929152148655,0.19148936170212758
002132.SZ,恒星科技,2014-10-28,6.49,6.71,7.28,0.03389830508474572,0.08494783904619975
002137.SZ,麦达数字,2014-02-20,3.88,4.51,4.38,0.16237113402061853,-0.02882483370288246
002137.SZ,麦达数字,2017-05-05,11.83,11.61,9.05,-0.018596787827557113,-0.22049956933677853
002137.SZ,麦达数字,2014-02-20,3.88,4.51,4.38,0.16237113402061853,-0.02882483370288246
002138.SZ,顺络电子,2013-05-03,15.32,17.09,18.66,0.11553524804177542,0.09186658864833237
002138.SZ,顺络电子,2010-01-20,17.85,20.9,19.46,0.1708683473389354,-0.06889952153110038
002138.SZ,顺络电子,2016-08-16,17.75,17.67,18.28,-0.004507042253521031,0.03452178834182226
002139.SZ,拓邦股份,2013-03-28,6.27,5.92,5.66,-0.055821371610845244,-0.04391891891891889
002139.SZ,拓邦股份,2015-10-13,14.72,19.25,23.3,0.30774456521739124,0.21038961038961043
002145.SZ,中核钛白,2015-04-30,17.31,21.29,24.82,0.2299248989023686,0.16580554250821988
002146.SZ,荣盛发展,2010-07-13,10.5,10.42,11.97,-0.007619047619047626,0.14875239923224576
002148.SZ,北纬科技,2010-11-24,37.1,48.02,44.2,0.2943396226415095,-0.07955018742190754
002148.SZ,北纬科技,2016-11-30,20.81,21.59,19.06,0.03748197981739554,-0.11718388142658644
002150.SZ,通润装备,2016-10-31,15.7,17.39,17.73,0.10764331210191092,0.01955146635997699
002151.SZ,北斗星通,2016-10-15,31.49,31.82,31.84,0.010479517307081672,0.0006285355122564291
002151.SZ,北斗星通,2016-10-15,31.49,31.82,31.84,0.010479517307081672,0.0006285355122564291
002151.SZ,北斗星通,2009-07-11,29.9,31.6,32.4,0.05685618729097,0.02531645569620244
002153.SZ,石基信息,2016-08-22,27.3,24.88,24.49,-0.0886446886446887,-0.015675241157556294
002154.SZ,报喜鸟,2017-01-19,5.68,4.75,5.01,-0.16373239436619713,0.05473684210526311
002154.SZ,报喜鸟,2008-10-21,15.85,12.27,12.52,-0.22586750788643534,0.020374898125509373
002157.SZ,正邦科技,2016-05-18,18.83,20.19,23.76,0.07222517259691998,0.17682020802377416
002157.SZ,正邦科技,2017-05-23,5.05,4.3,4.56,-0.1485148514851485,0.06046511627906972
002157.SZ,正邦科技,2015-04-17,11.15,14.25,16.14,0.2780269058295964,0.13263157894736846
002157.SZ,正邦科技,2017-05-23,5.05,4.3,4.56,-0.1485148514851485,0.06046511627906972
